Comp,yft,skp,alb,fri,bet,bft,sbft,slt,bon,lit,swo,blum,sail,shos,strm,sau,lesc
NA,0,0,0,0,0,0,0,1.3973506574060934e-8,0,0,0.0010741963681075717,0,0,0,4.7087629351239e-9,3.5494490417953273e-6,2.115921100553919e-6
0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2374545832471995e-11
0,0,NA,0,0.14206043630141751,0,0.47099275314093236,0,0,0.32525588482434564,2.5638629885804676e-8,0,0,0,0.0022931614513204135,0,0,0
0,0,0,NA,3.8225489440435467e-10,0,0.011656951182250186,0,0,0.013520018303269765,9.83999075998554e-7,0,0,0,2.886579864025407e-15,0,0,0
0,0,0.14206043630141751,3.8225489440435467e-10,NA,0,0,0.003454408357774774,6.5999387142134935e-6,0,0,0.2803957933087373,5.363585131590298e-10,0,0,0.93662576630664,0.007579493643200541,0.008522337553903636
0,0,0,0,0,NA,0,0,1.5936548791728455e-7,0,0,0,0,0,0.9924776281317298,0,0.0013502891863383937,2.156053113822054e-13
0,0,0.47099275314093236,0.011656951182250186,0,0,NA,0.248227012658369,0.15308466064613513,0,0,0.004529818608312031,0.006856290970807866,0,0.020756089964740543,0.05312712919257878,0,0.15856702577034776
0,0,0,0,0.003454408357774774,0,0.248227012658369,NA,0.011655839629700848,0.4416311963998847,1.1004757654919928e-5,0,0,0,2.0662938027271593e-10,0,4.383912057341899e-4,0
1.3973506574060934e-8,0,0,0,6.5999387142134935e-6,1.5936548791728455e-7,0.15308466064613513,0.011655839629700848,NA,0.18339055659796033,0.002870077453942965,0.12569854682184323,7.783862443488943e-11,0.12119517257643553,8.859584976761425e-8,0.6131638155579031,0.0022756701183022088,4.6188790407164504e-4
0,0,0.32525588482434564,0.013520018303269765,0,0,0,0.4416311963998847,0.18339055659796033,NA,0,0.017345798167479387,4.8787934879035433e-4,0,0.0033335862255694515,0.15553776120153429,0,4.3188311639119625e-4
0,0,2.5638629885804676e-8,9.83999075998554e-7,0,0,0,1.1004757654919928e-5,0.002870077453942965,0,NA,0.003037151786948744,0.005597376892648054,0,5.773159728050814e-15,4.222444838219985e-9,3.411008178717534e-4,2.7025182092188516e-10
0.0010741963681075717,0,0,0,0.2803957933087373,0,0.004529818608312031,0,0.12569854682184323,0.017345798167479387,0.003037151786948744,NA,0,0,0,0,0,0
0,0,0,0,5.363585131590298e-10,0,0.006856290970807866,0,7.783862443488943e-11,4.8787934879035433e-4,0.005597376892648054,0,NA,0,0,0,0,0
0,0,0,0,0,0,0,0,0.12119517257643553,0,0,0,0,NA,4.0746550636261425e-4,0,0.8412263532589201,7.416289804496046e-14
0,0,0.0022931614513204135,2.886579864025407e-15,0,0.9924776281317298,0.020756089964740543,2.0662938027271593e-10,8.859584976761425e-8,0.0033335862255694515,5.773159728050814e-15,0,0,4.0746550636261425e-4,NA,0,0,0
4.7087629351239e-9,0,0,0,0.93662576630664,0,0.05312712919257878,0,0.6131638155579031,0.15553776120153429,4.222444838219985e-9,0,0,0,0,NA,0,0
3.5494490417953273e-6,0,0,0,0.007579493643200541,0.0013502891863383937,0,4.383912057341899e-4,0.0022756701183022088,0,3.411008178717534e-4,0,0,0.8412263532589201,0,0,NA,0
2.115921100553919e-6,1.2374545832471995e-11,0,0,0.008522337553903636,2.156053113822054e-13,0.15856702577034776,0,4.6188790407164504e-4,4.3188311639119625e-4,2.7025182092188516e-10,0,0,7.416289804496046e-14,0,0,0,NA
