"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10","Comp.11","Comp.12","Comp.13","Comp.14","Comp.15"
"yft",0.40134286993269,0.264166037861591,0.40680376253307,0.369061261692994,0.308095860187087,0.18684379592974,0.0539329381647457,0.412961314904072,0.309839908094965,0.0965181903197874,0.114508930074146,0.210200670589741,0.0375208243584546,0.0118425574609298,0.00200285077238892
"skp",0.512091398324282,0.0215967766537838,0.429357800324109,-0.249510836895892,0.00930693024559179,-0.234087012771385,-0.466844954649275,-0.327530436427095,-0.263192042761717,0.14283607317651,-0.136651082873564,-0.0386529915094454,-0.0270506288022475,0.00349912213226938,0.00216929835584418
"alb",0.252737540350939,-0.308002992661692,0.0719107848358776,-0.651600534198564,-0.281406154091746,0.365995070359055,0.0584411807597295,0.298116684460279,0.288754897817228,-0.120662125143812,0.0806624739619068,-0.0167675759654418,-0.018332707684344,0.0314875631648025,-0.0043416866595125
"swo",0.134553893486562,-0.119308754273884,-0.073606121446183,0.101770356732168,0.00446259666562038,0.261776610953243,0.119974701327806,0.431674994596242,-0.62231630094838,0.0632751772989161,-0.529354109064273,-0.0714520411719446,-0.0576455761615649,-0.0517252868801514,-0.000674043743161778
"blum",0.475434182527828,-0.544210566206727,-0.264121923688813,0.108907179321307,0.334433031282861,-0.232941969576004,0.422796378775762,-0.213790417812462,0.0638112465965966,0.00357850127501447,0.0357517072411179,0.0110633230448733,-0.00734546718628891,-0.00778424420536268,0.00238459175997531
"fri",0.218914164784443,0.541159997149943,-0.511631906291119,-0.3297647562018,0.262859508773988,0.268655941965422,0.0674248079784807,-0.170548741393178,-0.0120187613976734,0.336042379012212,0.00390621451297165,0.026616731705085,-0.00249804086185753,-0.002430167507721,0.0012424117907204
"bet",0.207824357056302,0.207884398842168,-0.0141346635651558,0.121181622147107,-0.0186137832574806,0.022660931305238,0.0519993350046857,0.0396325413982339,-0.00430706488286634,-0.299374775008349,0.176227895645157,-0.878850594791783,0.00212037471068066,-0.0221470804954307,-0.000494071342537836
"bft",0.29068792679298,0.204039130717167,-0.120400954994916,0.233493231315782,-0.733465348816112,-0.195769002419054,0.224928325157815,-0.0667489017690098,0.236036581469392,0.187120316815704,-0.282303974451508,0.0500381446588101,0.017348436308776,0.0166406689761462,-0.0018668090247404
"sau",0.00209970827386207,0.13085012598024,-0.201158114400951,-0.267098756131612,0.112479035265748,-0.718951382890422,-0.0901310690901143,0.575845121428131,0.0364815645823437,0.0187107962755503,0.00187168674826056,-0.00866943956930824,0.00541465319634179,0.00300563651506702,-0.00237744652462181
"sail",0.199551419322184,0.256679875525213,-0.137592061151838,-0.0167248319883528,0.0078891329049085,-0.0115732861938607,-0.0169611282683688,-0.0948339958309469,-0.0776893081310416,-0.841371269910184,-0.129725400429396,0.363073777983965,-0.0544807626983003,-0.00648558358948345,-0.00182338644790854
"sbft",0.00356109196284124,-0.00139624549140143,-0.0142645362179018,0.0124815019694699,0.0160935520188115,0.00716297549860842,0.0111824136696469,0.00617874440915168,-0.0687211024955248,-0.0189772826996135,-0.0221343818161857,-0.0182542841979133,0.232043579088725,0.969225625879117,-0.0020388602723328
"slt",-0.0012151301377999,-0.00029674936663307,-0.00129318435662699,-0.00317846527165284,-0.00360976503730689,0.000171067551416838,-5.40038179359654e-06,0.00313769929532982,0.00151009799595034,-0.00306852401221248,-0.00210607889306772,-0.000505866771183154,0.00569088008577396,0.000795081403210973,0.999957173883902
"shos",0.074862433865153,-0.236579998231792,-0.404582361438126,0.251680451192336,0.0722128152313113,0.145540603757095,-0.679185466692702,0.0669207662774899,0.368795994347022,-0.0162710056070321,-0.275228360198266,-0.0837854984523948,-0.000604183898337684,0.0134328874936177,-0.000916514608065023
"strm",0.21770189327142,-0.0873479555843143,-0.264656017480457,0.200216145549187,-0.297168579534271,0.0644471071204489,-0.234273772291741,0.144770670634944,-0.39368627114948,0.0571949726643623,0.688096148569364,0.184167415301207,0.0257500919323045,-0.0149343726812997,0.00117124263149228
"lesc",0.01469504506519,-0.0131975707278232,-0.00433276328124015,-0.0396372607385318,0.0035859572881808,0.0111542813457974,-0.00497258017450776,-0.0086306556299565,-0.0321449390618993,-0.0445103610752465,-0.053788675655751,0.00729371544348098,0.967625018957568,-0.235569760825593,-0.00559677197392818
