"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10","Comp.11","Comp.12","Comp.13","Comp.14","Comp.15"
"yft",0.310192005188692,0.24573329846661,0.300270355380522,0.289498945678325,0.0772413026950572,0.120776442192699,0.22298098667275,0.762640272779666,0.0443721654072064,0.0745301112533163,0.0788226820698659,0.00659913696724502,0.0604202992584282,0.00993474675065583,0.000874093556592682
"skp",0.365144567601827,0.0892460637379623,0.659259447957598,0.00488566587770901,0.0858694882792421,0.293386278592526,-0.41602218827029,-0.358273832273074,-0.121293839680716,-0.109423649542664,0.02248823812429,0.0415133520466454,0.0125428035240187,0.0100590364800872,-0.00083778650137131
"alb",0.189073937883759,-0.106915208207889,0.147342223845981,-0.892535945036935,-0.120449750524427,0.0402912586129284,0.213086273401068,0.20806118914036,-0.0528005120582732,-0.048501935326949,-0.138423074267957,0.0429240987291959,-0.0513338500327027,-0.0296771162975455,-0.00190812975761432
"swo",0.201324027481613,-0.0105845342022207,-0.0357880341178555,-0.00813572590723929,-0.0940223993327845,-0.169687302607758,0.0957561314976038,-0.0703520897445717,0.0694885680282694,-0.126245799285968,0.684893687667236,0.245301330329759,-0.596701250359868,0.00767628599186252,0.0112653512699086
"blum",0.762610386620431,-0.239420317991028,-0.528989286865305,0.100585122979267,0.0671495343991608,0.175553426338861,-0.0146551045777799,-0.0822525461400099,-0.0378177073791487,0.0317906266675327,-0.15439413917434,0.000511169036541186,0.0506207566061459,0.00235998965022565,-0.00113713307429619
"fri",0.0382998848870943,0.886820256908617,-0.328769067205798,-0.204742614797129,0.0989221636436059,0.0829834505345708,-0.0904933105613646,-0.0921851489488693,-0.144625100572803,0.00462066081632589,0.0526292916816066,0.0558474533897366,0.0422497219803942,0.00219819550903659,-0.00994498552941768
"bet",0.224272800248531,0.204939500134493,0.139743574761644,0.100334392061249,-0.25783784675428,-0.459107301226556,0.107351116741533,-0.115978297756645,-0.0225286892474171,-0.00475093742931739,-0.316637115088748,-0.59611101687193,-0.345795459759279,0.00890905128211708,-0.00893122852081597
"bft",-0.00010768564620064,0.0135940264897853,-0.00425081751338409,-0.00107195266386367,-0.0146194120713386,0.00792260448803812,-0.00932537987122427,0.00170540717556414,0.0160114225150383,-0.00728831893402233,-0.0189361984464327,-0.00263352313393315,-0.0024011662530424,-0.0155909203086579,0.999252602511499
"sau",-0.0649963334120084,0.028149594663195,-0.10307474282951,0.0744710393763801,-0.877709833562063,0.363168165976163,-0.237925822050938,0.132227508000816,-0.0365988723572987,-0.010511332883865,0.0236464102797251,0.000532530009760418,-0.0110244540779576,0.000107522885270666,-0.0179807462117989
"sail",0.0902059408020022,0.155407631233906,0.0408238177856629,-0.00103620285160159,-0.0898063524387838,-0.0827648705317118,-0.0206787198895746,-0.0886329748978709,0.874286836871711,-0.156087793696826,-0.254032826668754,0.296130021932565,0.0344597041071946,-0.0144581899200478,-0.0219551886585986
"sbft",0.186301193704395,0.0447971628042179,0.126374686324322,0.0753609281481277,-0.300361033978691,-0.545658104364785,0.140270243341842,-0.133441014863352,-0.268989018875052,0.157357136020682,0.0186919778914585,0.47007323156108,0.444218824495253,-0.0184802551784002,0.00932780361409433
"slt",-0.00302821133317196,-0.00507274063249907,-0.000155435585846398,-0.0251209273021127,-0.0107996654045694,-0.00333111745076623,0.0218462829236024,-0.00439595519674941,0.00381451710943014,-0.00893769482285132,-0.0144101237706279,0.0195723127743715,0.0130742690094183,0.998807687934381,0.0153884522601888
"shos",0.0228366755636456,-0.081883545037355,-0.118831532410595,-0.110252609293651,0.100537264304325,-0.418210923156488,-0.773229937281508,0.406826893249932,-0.0292956599401051,-0.10852148109288,-0.0312593047159142,0.0421170652215792,-0.0500770250793758,0.0138285440497933,-0.00333911272555709
"strm",0.110630498505992,-0.021049790189094,-0.0220364879870805,-0.140585407050347,-0.0578849707361252,-0.0935337285615662,-0.0282063124311903,-0.0449449957041848,0.259776008764888,-0.135475107622128,0.546003950700667,-0.512884877230412,0.55235738264785,0.004586434468101,0.00500541759310863
"lesc",0.0314754228778263,-0.00506758191405422,0.0434852415016065,-0.116608783871284,0.00957045340452246,0.0151293652727096,-0.163540655578335,-0.0486767171874064,0.214856813279981,0.940014972045951,0.114322300809883,-0.0622370986281517,-0.0846171178511396,0.0121646311648503,0.00411155596480826
