"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10","Comp.11","Comp.12","Comp.13","Comp.14","Comp.15"
"yft",0.326285341518723,0.407530334668983,0.0738262018606905,0.37937929154593,0.623862331447617,0.0190181841178126,0.210870167788576,0.19337498792258,0.125141325550104,0.272638988758095,0.0157860199297052,0.0282736101532516,0.123189196021332,0.0198488969752951,0.0064352172133264
"skp",0.445019438316944,0.290417696768582,0.0944761856132916,0.422610068782129,-0.568410236616529,-0.329010239557752,-0.160710548691915,-0.244106561491301,-0.0508037730592082,0.0374714469423031,-0.0645024486617489,-0.00729734521908678,0.0706496488613395,-0.0120856424505549,0.000164103859958059
"alb",0.155049095855362,-0.0931811956197528,0.0402782066148354,-0.0558298830624311,-0.352661563868486,-0.130416023863616,0.349326682263968,0.831672479195628,0.0524065238815759,-0.0244072620354098,0.00625953448665435,-0.0465634306702879,-0.0402841599091549,-0.0105929647332559,0.0129017017599917
"swo",0.0279432487609201,0.0204560505607144,-0.0304898210258035,-0.0376035608820348,-0.0752720694983481,0.123858112014652,0.491290051566755,-0.266009178082041,0.0139901703590296,0.122597358920423,-0.195554173606026,-0.753338165545885,-0.142587120373488,-0.0401406189488834,-0.142812933470627
"blum",0.748029126150244,-0.467996232636204,0.210484933260404,-0.32498490783704,0.189479077751257,0.0469127610739293,-0.142684911445812,-0.0788875817274348,-0.0316084059925718,-0.0424806732875337,-0.0343991246884899,-0.0504453305138977,-0.0158946016331039,0.00390796723775086,0.00527749980935434
"fri",0.0468673898013736,0.623013817857926,0.146450011758483,-0.732950136270122,-0.0396956567492732,-0.16724521969189,-0.065491722675903,-0.00939550545040904,0.0585139706633866,0.111194115916516,-0.00114683522114252,0.00167624969263284,0.0337705865348516,-0.00641420831012257,-0.00978961634155036
"bet",0.120743515362616,0.238016384903135,0.0708956009964737,0.059837896842414,0.0244152387239771,0.2309388623157,0.107617697611652,-0.0114004451355775,-0.247121174820829,-0.295570118039154,-0.100513337162464,0.238251131970178,-0.799295056313546,0.018720002193111,0.00138376071175295
"bft",0.0740777908597722,0.170551285900149,0.0630809587330949,0.0480158287400743,-0.233492002239553,0.808079573417325,-0.32671163252186,0.159594427657896,0.242261548843803,0.0245895238263619,-0.160547799475497,-0.0928706943773603,0.159966689997663,0.00823229539774906,0.00806543545390279
"sau",-0.262713204915509,-0.0875053852798771,0.948989740165687,0.105960910788192,-0.00356460710339095,-0.0307404243722033,0.0614101781650104,-0.0366238734425737,0.0731024802084975,-0.00480041377565319,-0.00369733137482167,-0.00607465352716132,0.00396720018787771,-0.000727573755028741,-0.00335908498545195
"sail",0.0679474905771668,0.167088937934705,0.055131058091294,-0.0104035169852934,0.0430006511756221,0.15774081788646,0.248769865505555,-0.027019798795421,-0.47510350858349,-0.614099839354716,0.116060823748697,-0.0275211295343974,0.493254206104622,-0.120804376427182,0.00247554535583813
"sbft",-0.00355822128870286,0.00633778906074055,-0.00271223009156288,-0.0152767467615745,-0.0154262278380241,0.0159299803217258,0.0799614790427425,-0.0577092994866281,0.000917168002227266,0.0240108661504304,-0.0229181532378391,-0.0979121479047626,-0.0175279482695728,0.0230429814015968,0.988920067974699
"slt",-0.0672121057833734,-0.0323245796939086,0.0616633083423173,-0.00647570247413841,-0.020347619673364,0.100215427935078,-0.170327673891141,0.147716368332236,-0.786266202267848,0.550248215199457,-0.0637025824313067,-0.0625274206164829,0.0176347710165553,0.00617259327887033,0.000365955812476657
"shos",0.0552819594491714,-0.103477270199265,-0.0212556646838211,-0.110727005059225,-0.191081485593193,0.196554013491183,0.542977096861423,-0.256904459749005,0.0429432214318498,0.287360061039558,-0.268738375577338,0.588500234665476,0.184317027993779,-0.01764594660481,-0.0172490919512097
"strm",0.0872246703936203,0.0036002149210868,0.0204340778068934,-0.0141299208250965,-0.159648751529983,0.218417218282235,0.155285774310213,-0.123067615700193,0.0300736701295663,0.197203287024751,0.910999212633274,0.0160446097084609,-0.096159795356806,-0.00173458376119268,-0.00939692997539427
"lesc",0.00586779135798815,0.0137008119228276,0.00387780565515533,-0.0123493797881929,-0.0237325011945974,0.00898203398145127,0.0577912346233916,-0.0172864634582666,-0.0510166940955935,-0.0674295888773577,0.00628899667755658,-0.0253763927759888,0.0697924862949422,0.990850220799584,-0.0289765168686292
