"","Comp.1","Comp.2","yft","skp","alb","swo","blum","fri","bet","bft","sau","sail","sbft","slt","shos","strm","lesc"
"Comp.1",1,-0.263757946862588,0.757926218074695,0.829181849412069,0.533995062937726,0.48866791415275,0.650122819577576,0.288594979410446,0.743205882765603,0.210032571292754,-0.401928832964512,0.608332718021647,-0.0803955129155431,-0.468522192459755,0.197910907369607,0.528038827683909,0.352086437695941
"Comp.2",-0.263757946862588,1,0.0850881622496616,-0.244327422731708,-0.660293325071336,-0.455773971666283,-0.651662367607772,0.21234100308736,0.0908899214880285,-0.271955724592784,0.103665479821545,-0.0321337459746703,0.239816818374565,0.0795235871469092,-0.788985572115082,-0.662113906011175,-0.321865703032808
"yft",0.757926218074695,0.0850881622496616,1,0.682110463418108,0.152250808075468,0.274508830205818,0.44829973356562,0.145119121014833,0.796517640797823,-0.0755547475103359,-0.47002681376539,0.363360245703917,-0.179807161919084,-0.457534094295556,-0.159369328173477,0.143918056181264,-0.053655967214652
"skp",0.829181849412069,-0.244327422731708,0.682110463418108,1,0.507863085294396,0.345657639330951,0.622658092690993,0.171932453784373,0.601425574559102,0.264856179455878,-0.50620681653609,0.526134834265286,-0.18235606917841,-0.459521526186458,0.15852331918185,0.420851564553124,0.253201883413961
"alb",0.533995062937726,-0.660293325071336,0.152250808075468,0.507863085294396,1,0.381062262946981,0.691796270595001,0.0709054300691921,0.219352182376538,0.476248912446459,-0.170043070131686,0.372379160718841,-0.15476024273258,-0.175692164607702,0.626370056525477,0.702434433339548,0.552465332677224
"swo",0.48866791415275,-0.455773971666283,0.274508830205818,0.345657639330951,0.381062262946981,1,0.436595832120888,0.216283969840488,0.35373794778831,0.102439488044575,-0.326517645607265,0.274233892001133,0.0747538345945858,-0.194969515050773,0.425342611161727,0.496902511694687,0.299125288031858
"blum",0.650122819577576,-0.651662367607772,0.44829973356562,0.622658092690993,0.691796270595001,0.436595832120888,1,-0.171331728198796,0.324374248667309,0.189461722490814,-0.39128419471453,0.269422659863793,-0.299714881164134,-0.284653154013132,0.49272937303139,0.678156516218431,0.275099494741273
"fri",0.288594979410446,0.21234100308736,0.145119121014833,0.171932453784373,0.0709054300691921,0.216283969840488,-0.171331728198796,1,0.37299928502277,0.240801901645173,-0.0975396514266177,0.66229871675461,0.539262405464897,-0.163461731855286,-0.127933965307134,0.159202697609047,0.337327205309054
"bet",0.743205882765603,0.0908899214880285,0.796517640797823,0.601425574559102,0.219352182376538,0.35373794778831,0.324374248667309,0.37299928502277,1,0.0369952134463658,-0.362654840796437,0.527118643381591,-0.0260676728249216,-0.371618788066438,-0.098651932988524,0.168766500849378,0.110646969404678
"bft",0.210032571292754,-0.271955724592784,-0.0755547475103359,0.264856179455878,0.476248912446459,0.102439488044575,0.189461722490814,0.240801901645173,0.0369952134463658,1,0.162691433675153,0.305644628639064,0.140420676345415,-0.018176854001233,0.381535624360535,0.482040676703585,0.334204164109133
"sau",-0.401928832964512,0.103665479821545,-0.47002681376539,-0.50620681653609,-0.170043070131686,-0.326517645607265,-0.39128419471453,-0.0975396514266177,-0.362654840796437,0.162691433675153,1,-0.289100351632222,-0.00530654296331804,0.494942154889962,0.120342093510015,-0.102166964914237,-0.0666328371534229
"sail",0.608332718021647,-0.0321337459746703,0.363360245703917,0.526134834265286,0.372379160718841,0.274233892001133,0.269422659863793,0.66229871675461,0.527118643381591,0.305644628639064,-0.289100351632222,1,0.353703703251777,-0.329678430667392,-0.0154994351926917,0.384852365139232,0.557259173693395
"sbft",-0.0803955129155431,0.239816818374565,-0.179807161919084,-0.18235606917841,-0.15476024273258,0.0747538345945858,-0.299714881164134,0.539262405464897,-0.0260676728249216,0.140420676345415,-0.00530654296331804,0.353703703251777,1,0.0590457672242092,-0.219937869440695,0.0131571516012074,0.261445661123537
"slt",-0.468522192459755,0.0795235871469092,-0.457534094295556,-0.459521526186458,-0.175692164607702,-0.194969515050773,-0.284653154013132,-0.163461731855286,-0.371618788066438,-0.018176854001233,0.494942154889962,-0.329678430667392,0.0590457672242092,1,0.0589196896309292,-0.155941711189713,-0.161725112362964
"shos",0.197910907369607,-0.788985572115082,-0.159369328173477,0.15852331918185,0.626370056525477,0.425342611161727,0.49272937303139,-0.127933965307134,-0.098651932988524,0.381535624360535,0.120342093510015,-0.0154994351926917,-0.219937869440695,0.0589196896309292,1,0.654086924694248,0.301875949056268
"strm",0.528038827683909,-0.662113906011175,0.143918056181264,0.420851564553124,0.702434433339548,0.496902511694687,0.678156516218431,0.159202697609047,0.168766500849378,0.482040676703585,-0.102166964914237,0.384852365139232,0.0131571516012074,-0.155941711189713,0.654086924694248,1,0.465522267415458
"lesc",0.352086437695941,-0.321865703032808,-0.053655967214652,0.253201883413961,0.552465332677224,0.299125288031858,0.275099494741273,0.337327205309054,0.110646969404678,0.334204164109133,-0.0666328371534229,0.557259173693395,0.261445661123537,-0.161725112362964,0.301875949056268,0.465522267415458,1
