"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10","Comp.11","Comp.12","Comp.13","Comp.14","Comp.15"
"yft",0.432324635466874,0.473453645902994,0.0831124940709227,0.0657870325202681,0.033322197815265,0.0645032194187768,0.24341857722501,0.31028665386001,0.53022518620601,0.28264596881596,0.170807399880216,0.157003224791547,0.041786923904824,0.013481770637243,0.0109275602826662
"skp",0.589120303474632,0.256944642577363,0.378954376902514,-0.215979371789614,0.0943948332875635,-0.0899884180379755,-0.345727394940986,-0.372465886954232,-0.336639974279897,-0.0328381929380105,-0.0370860198371669,0.000759714888587476,0.0723663809373895,-0.0194299295332966,-0.00120702053382907
"alb",0.195129111330799,-0.437090847146056,-0.0722441071319363,-0.78971694113986,0.209101853514127,-0.0448726841711152,0.0920135712813619,0.192823261602575,0.198819685506092,-0.0846699068642305,0.0599396040200256,0.0157631230864743,0.0031402789994816,-0.00822273595604935,0.00165688852541136
"swo",0.217661567200905,-0.222639378810835,-0.251768482853329,0.143346167497204,0.164957047345143,-0.327822388030921,0.105807228186323,0.066304001202461,-0.297346805506882,0.656067095457846,-0.0339714908429595,-0.111903958912008,-0.196626085391754,-0.312233403170833,0.0135163081821475
"blum",0.508170906670977,-0.454289222695217,-0.0661284709882265,0.294925203096155,-0.23781987358154,0.592605631164484,0.108647879931627,0.00435934881134085,-0.0486073213825995,-0.121264545730712,-0.0761469299755451,-0.0124227233323752,-0.033541217313429,-0.0177223753535402,0.00267450476399087
"fri",0.0730596072706778,0.373182889958133,-0.814823544967896,-0.233031121352674,-0.104916743175835,0.231855480507663,-0.148099598573094,-0.182177025846287,-0.0999209267979266,-0.0221686019976753,0.0793040566480654,0.0137760965352361,-0.00668095333036414,-0.0140107301462626,-0.00860094944371984
"bet",0.239748539101241,0.107033209575696,-0.134936217457703,0.185083614310571,0.188301606311434,-0.310282752847101,0.148728602159472,0.12747988818543,0.0187748643839077,-0.532808247972339,0.0935183443722841,-0.483092983444886,-0.419147074422176,0.0756458415530318,-0.0269889415137245
"bft",-0.000934542040385412,0.0046796911780665,-0.00788426352892876,-0.000811131979293426,0.00232320795075031,-0.00275351377076306,-0.00924710377819704,-0.00160803538427355,-0.00220799348718963,-0.0155949788108896,-0.00688494800613347,-0.0120851811427192,-0.0236876138669703,0.0352084275623475,0.998784793938137
"sau",-0.098326846209479,0.00497517755743242,-0.0209396817318692,0.166839164875342,0.839457875890482,0.399679942653693,-0.294837240133139,0.0955909825183204,0.0264986272873229,0.0256147138513133,-0.00578073856602518,-0.00741909311731747,0.00606131066808535,-0.00643001855433667,-0.00287233922081626
"sail",0.0859712480575011,0.102950893076312,-0.127448654941333,0.00669484126890597,0.0744733333122986,-0.115822084678258,0.0971679064936478,0.0864390963368484,0.113732174988515,-0.102856914350678,-0.901344330919206,-0.060467674132025,0.288998371468822,-0.0820659634081118,0.000591151656158256
"sbft",0.120688776272673,-0.0904427054486463,-0.170403760927795,0.222051118194725,0.154406514533035,-0.294034930122654,0.109873862696281,0.0668815052340257,-0.139735439274421,-0.381239744300621,0.245847483694298,0.530068048290298,0.409750129826222,-0.312104976444976,0.021893841128891
"slt",-0.0457160123829266,-0.0299075179017417,0.00252771431325548,0.000705440534320737,0.252955561345011,0.0436770378895305,0.57179265542588,-0.750503774438304,0.197836980599454,0.032706196554566,0.0209442251568283,-0.0107498903592599,0.00379995976466781,-0.0103615604623845,0.00515317126780884
"shos",0.079434619023452,-0.255315731397029,-0.126944733022877,0.182304278144607,-0.0929779892197364,-0.249221323871165,-0.555316837366246,-0.295250545244045,0.623536217203871,0.0215153615503602,0.0237761269650265,-0.0472960473717098,-0.00813133634341271,-0.143942432624901,0.000516381854927892
"strm",0.13265264606487,-0.161169618997475,-0.173059147248356,0.134513598974396,0.0821779327870087,-0.206565960485855,-0.00842026442562901,-0.00813442557552619,-0.0614643847481128,0.152398148467636,0.0859825484642054,-0.0824514220920296,0.399493009103567,0.81098280076676,-0.0185041857817756
"lesc",0.0436302167547538,-0.0349638290273561,-0.050090821472147,0.0276937281690205,0.0505402496490036,-0.103610699299872,-0.0421585274054073,-0.048741014702318,-0.00286739475653605,-0.0278982136809341,-0.250058195009183,0.6594506952005,-0.604816558891579,0.334223765759366,-0.0213525642501417
