"","Comp.1","Comp.2","yft","skp","alb","swo","blum","fri","bet","bft","sau","sail","sbft","slt","shos","strm","lesc"
"Comp.1",1,0.203267113271057,0.783077672519194,0.853576760437679,0.495718982153338,0.711584360834132,0.814903837628284,0.275363246942073,0.70014630159029,-0.220324473738361,-0.665029928091225,0.586410303642349,-0.0323085894654701,-0.435060173222393,0.343221819912012,0.682703356171199,0.522491184635786
"Comp.2",0.203267113271057,1,0.599911614768663,0.352642635719086,-0.358066679108671,0.0154044511385532,-0.0171168503069715,0.441789964870485,0.59039460408881,-0.30858845162128,-0.370193371599786,0.382767011310939,0.204827425189096,-0.344179899282935,-0.585834745484618,-0.221885153573851,-0.158772605155664
"yft",0.783077672519194,0.599911614768663,1,0.792329163276152,0.150151412486232,0.542354469644158,0.611390864668733,0.373393623651751,0.853855894836586,-0.407315089089399,-0.663582203188395,0.522187047885963,0.0240935879677983,-0.470817302045528,-0.0408741867649756,0.357823670418,0.209532020112156
"skp",0.853576760437679,0.352642635719086,0.792329163276152,1,0.435758777318752,0.605905972683383,0.76761962783691,0.237633768618057,0.690347206463113,-0.205919571863609,-0.715199393249522,0.573544046194138,-0.0515263087712527,-0.450974814423786,0.216937709187605,0.521700295095246,0.411678645947617
"alb",0.495718982153338,-0.358066679108671,0.150151412486232,0.435758777318752,1,0.434343705692421,0.570228019671437,0.011111631913252,0.137099100058351,0.179087575147393,-0.271628895238831,0.366218268984245,-0.0116024871720552,0.0225199116976026,0.506154878741185,0.630221996372229,0.636088799121572
"swo",0.711584360834132,0.0154044511385532,0.542354469644158,0.605905972683383,0.434343705692421,1,0.6824611704977,0.267818847093967,0.532454529874454,-0.10391556812438,-0.542381915236766,0.446998474578796,0.0882262477203219,-0.296904778755609,0.383144499259881,0.690230099641953,0.367310575037425
"blum",0.814903837628284,-0.0171168503069715,0.611390864668733,0.76761962783691,0.570228019671437,0.6824611704977,1,-0.0203415128440329,0.473256255914112,-0.198619037530164,-0.626136229757996,0.373735936992037,-0.142247508101371,-0.308564208998556,0.414343699308959,0.734340671478875,0.427837617010773
"fri",0.275363246942073,0.441789964870485,0.373393623651751,0.237633768618057,0.011111631913252,0.267818847093967,-0.0203415128440329,1,0.55934464470763,-0.115083446619542,-0.149642304118666,0.705779303687894,0.612357114570183,-0.0842151363475879,-0.288927518662881,0.112457745422007,0.147130376926821
"bet",0.70014630159029,0.59039460408881,0.853855894836586,0.690347206463113,0.137099100058351,0.532454529874454,0.473256255914112,0.55934464470763,1,-0.347577271618288,-0.520659016870257,0.656882754547056,0.180787359217902,-0.331842506634022,-0.11344068188525,0.316432731192464,0.195587052986161
"bft",-0.220324473738361,-0.30858845162128,-0.407315089089399,-0.205919571863609,0.179087575147393,-0.10391556812438,-0.198619037530164,-0.115083446619542,-0.347577271618288,1,0.27933705047808,-0.11497183616577,-0.00697758009559591,0.196340428113827,0.297407348532461,0.0727031954143488,0.14043065033195
"sau",-0.665029928091225,-0.370193371599786,-0.663582203188395,-0.715199393249522,-0.271628895238831,-0.542381915236766,-0.626136229757996,-0.149642304118666,-0.520659016870257,0.27933705047808,1,-0.388689878254164,0.0394170934560528,0.607925429514175,-0.104931594692207,-0.415212580197395,-0.310207999989611
"sail",0.586410303642349,0.382767011310939,0.522187047885963,0.573544046194138,0.366218268984245,0.446998474578796,0.373735936992037,0.705779303687894,0.656882754547056,-0.11497183616577,-0.388689878254164,1,0.522697861124363,-0.143087193527788,-0.135675662984626,0.394788095856689,0.491834369776049
"sbft",-0.0323085894654701,0.204827425189096,0.0240935879677983,-0.0515263087712527,-0.0116024871720552,0.0882262477203219,-0.142247508101371,0.612357114570183,0.180787359217902,-0.00697758009559591,0.0394170934560528,0.522697861124363,1,0.187031308988027,-0.359286794628613,0.051598289027835,0.0766789010036616
"slt",-0.435060173222393,-0.344179899282935,-0.470817302045528,-0.450974814423786,0.0225199116976026,-0.296904778755609,-0.308564208998556,-0.0842151363475879,-0.331842506634022,0.196340428113827,0.607925429514175,-0.143087193527788,0.187031308988027,1,-0.0782702250626863,-0.192881647472173,-0.231765250011208
"shos",0.343221819912012,-0.585834745484618,-0.0408741867649756,0.216937709187605,0.506154878741185,0.383144499259881,0.414343699308959,-0.288927518662881,-0.11344068188525,0.297407348532461,-0.104931594692207,-0.135675662984626,-0.359286794628613,-0.0782702250626863,1,0.564285047436287,0.347895321977842
"strm",0.682703356171199,-0.221885153573851,0.357823670418,0.521700295095246,0.630221996372229,0.690230099641953,0.734340671478875,0.112457745422007,0.316432731192464,0.0727031954143488,-0.415212580197395,0.394788095856689,0.051598289027835,-0.192881647472173,0.564285047436287,1,0.560233156137431
"lesc",0.522491184635786,-0.158772605155664,0.209532020112156,0.411678645947617,0.636088799121572,0.367310575037425,0.427837617010773,0.147130376926821,0.195587052986161,0.14043065033195,-0.310207999989611,0.491834369776049,0.0766789010036616,-0.231765250011208,0.347895321977842,0.560233156137431,1
