"","species","tree_complexity","bag_fraction","learning_rate","train_AUC","valid_AUC","test_AUC","train_test_diff","pred_dev"
"1","ALB",2,0.75,0.007,0.9411,0.89118,0.8868,0.0543,0.236096065014449
"2","BET",2,0.75,0.01,0.9522,0.86304,0.8232,0.129,0.201784918760205
"3","BFT",2,0.75,0.007,0.9993,0.99408,0.9937,0.00559999999999994,0.0254746244872579
"4","BLUM",2,0.75,0.009,0.916,0.85152,0.8464,0.0696,0.569584842391972
"5","FRI",2,0.75,0.008,0.9614,0.90532,0.9044,0.057,0.173287259118873
"6","LESC",1,0.75,0.005,0.885,0.80418,0.8849,9.9999999999989e-05,0.128155553294114
"7","SAIL",2,0.75,0.01,0.9715,0.9262,0.9345,0.037,0.127903611248443
"8","SAU",1,0.5,0.009,0.9658,0.9435,0.9782,-0.0124,0.0556662798422281
"9","SBFT",2,0.75,0.006,0.9985,0.98884,0.9974,0.0011000000000001,0.0281875659194456
"10","SHOS",2,0.5,0.008,0.9199,0.84006,0.8648,0.0551,0.306528260253072
"11","SKP",2,0.5,0.01,0.8609,0.7983,0.7918,0.0691,0.625872768930626
"12","SLT",2,0.75,0.007,0.9986,0.98364,0.988,0.0106000000000001,0.0289794166107487
"13","STRM",2,0.5,0.009,0.9268,0.83972,0.8529,0.0739,0.200671254654976
"14","SWO",2,0.5,0.01,0.9421,0.82734,0.8565,0.0856,0.272070821835239
"15","YFT",2,0.5,0.01,0.8776,0.79866,0.8117,0.0659000000000001,0.504595343593245
