Sc_name,C_name,Code,Taxo_group,Tribe,Genera,Stock_name,Ocean,Ocean_region,Country,Local_area,Area,Lat,Lon,Period_study,Startyear_study,Finalyear_study,Total_size,Sex,Lmax,Wmax,Growth_size,Linf,k,to,Growth_method,Tmax,Tmax_Taylor,Maturity_size,Lm,Lm50,Tm,Tm50,Fecundity_methods,Fecundity_size,Fmeanbatch,Oocytes_gram,Fecundity_equation,Fecundity_slope,Fecundity_Lm50,Spawning_freq,Spawning_season,Spawning_duration,Size_eggs,WL_size,WL_a,WL_b,WL_units,Source,Source_label,Source_format
Acanthocybium solandri,Wahoo,WAH,Spanish mackerels,Scomberomorini,Acanthocybium,Northwest Atlantic stock,Atlantic,Northwest,USA,"From Palm Beach to Key West, Florida",Northwest Atlantic Ocean (Southern Florida),25,-80.2,1967-1968,1967,1968,201,B,172,36.29,NA,NA,NA,NA,Size-frequency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,1.54E-06,3.29389,W in kg and FL in cm,Beardsley1970,50,pdf
Acanthocybium solandri,Wahoo,WAH,Spanish mackerels,Scomberomorini,Acanthocybium,NA,Atlantic,Northwest & Caribbean Sea,NA,"Northwest Atlantic Ocean, Gulf of Mexico and Caribbean Sea","Northwest Atlantic Ocean, Gulf of Mexico and Caribbean Sea",25,-80.2,1992-2003,1992,2003,129,B,164,48.2,NA,NA,NA,NA,Size-frequency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164,2.04E-06,3.242,W in kg and FL in cm,Beerkircher2005,53,pdf
Acanthocybium solandri,Wahoo,WAH,Spanish mackerels,Scomberomorini,Acanthocybium,Northwest Atlantic stock,Atlantic,Caribbean Sea,NA,Northern Gulf of Mexico and Bimini,Northwest Atlantic Ocean (Northern Gulf of Mexico and Bahamas),25,-80.2,1997-1998,1997,1998,70,BB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,May - Aug,4,NA,NA,NA,NA,NA,Brown-Peterson2000,74,pdf
Acanthocybium solandri,Wahoo,WAH,Spanish mackerels,Scomberomorini,Acanthocybium,Northwest Atlantic stock,Atlantic,Caribbean Sea,NA,Northern Gulf of Mexico and Bimini,Northwest Atlantic Ocean (Northern Gulf of Mexico and Bahamas),25,-80.2,1997-1998,1997,1998,29,FF,163,NA,NA,NA,NA,NA,NA,NA,NA,29,97.5,102,NA,2,"Gross anatomical examinations of ovaries, histological examination of ovaries, gonadal-somatic index, oocyte diameter frequency distributions and volumetric technique to count individual oocytes",3,1146395,57.7,NA,NA,445672,4,May - Aug [peak:Jun],4,0.8,NA,NA,NA,NA,Brown-Peterson2000,74,pdf
Acanthocybium solandri,Wahoo,WAH,Spanish mackerels,Scomberomorini,Acanthocybium,Northwest Atlantic stock,Atlantic,Caribbean Sea,NA,Northern Gulf of Mexico and Bimini,Northwest Atlantic Ocean (Northern Gulf of Mexico and Bahamas),25,-80.2,1997-1998,1997,1998,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brown-Peterson2000,74,pdf
Acanthocybium solandri,Wahoo,WAH,Spanish mackerels,Scomberomorini,Acanthocybium,Caribbean stock,Atlantic,Caribbean Sea,NA,"Trinidad, St. Lucia and St. Vincent","Northwest Atlantic Ocean (Trinidad, St. Lucia and St. Vincent)",14.3,-63.4,1998-1999,1998,1999,NA,B,165,NA,517,155.21,0.316,-1.172,Otoliths,10,8.321670886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRFM2007,659,pdf
Acanthocybium solandri,Wahoo,WAH,Spanish mackerels,Scomberomorini,Acanthocybium,Caribbean stock,Atlantic,Caribbean Sea,Puerto Rico,Puerto Rico,Northwest Atlantic Ocean (Puerto Rico),17.5,-66.3,2003-2007,2003,2007,299,BB,171.7,NA,NA,NA,NA,NA,NA,NA,NA,299,67,90.45551839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Apr-Oct,7,NA,NA,NA,NA,NA,Figuerola-Ferníçndez2008,187,pdf
Acanthocybium solandri,Wahoo,WAH,Spanish mackerels,Scomberomorini,Acanthocybium,Caribbean stock,Atlantic,Caribbean Sea,Puerto Rico,Puerto Rico,Northwest Atlantic Ocean (Puerto Rico),17.5,-66.3,2003-2007,2003,2007,141,FF,172.7,NA,NA,NA,NA,NA,NA,NA,NA,141,67,89.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Apr-Oct,7,NA,NA,NA,NA,NA,Figuerola-Ferníçndez2008,187,pdf
Acanthocybium solandri,Wahoo,WAH,Spanish mackerels,Scomberomorini,Acanthocybium,Caribbean stock,Atlantic,Caribbean Sea,Puerto Rico,Puerto Rico,Northwest Atlantic Ocean (Puerto Rico),17.5,-66.3,2003-2007,2003,2007,157,MM,151,NA,NA,NA,NA,NA,NA,NA,NA,157,68,91.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Apr-Oct,7,NA,NA,NA,NA,NA,Figuerola-Ferníçndez2008,187,pdf
Acanthocybium solandri,Wahoo,WAH,Spanish mackerels,Scomberomorini,Acanthocybium,Northeast Atlantic stock,Atlantic,Northeast,NA,Cape Verde and Dakar ,Northeast Atlantic Ocean (Cape Verde and Dakar),14.3,-18.4,1953,1953,1953,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,May-Aug,4,NA,NA,NA,NA,NA,Frade1955,196,pdf
