"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10","Comp.11","Comp.12","Comp.13","Comp.14","Comp.15"
"yft",0.335825360791241,0.207161457289071,0.262117631084456,0.0342357335334571,0.0913976264679078,0.220184948701633,0.12453981616928,0.293835728907733,0.422060952407342,0.0897714854046101,0.253531081026055,0.0384197687132582,0.200371098704103,0.271413890991835,0.499980647927793
"skp",0.373551744566637,-0.0359207074478102,0.314022421431855,-0.254396041167504,0.0632671171222662,0.0194133408715463,0.162496500739037,-0.0759540965477329,0.101496153026602,0.185730057442203,0.127252597695883,-0.216572095100838,0.0193068148249818,0.238099988724206,-0.703085662984193
"alb",0.240617510919121,-0.331182601554239,0.182056700586034,-0.385007108130506,0.0877156611514436,-0.0305943583070482,0.119121776360639,-0.482630630486593,-0.152939369296251,-0.0669499811760499,0.0262180385580935,-0.333278252647379,0.0403971921276441,-0.256005350637351,0.434152743499827
"swo",0.281575717863522,-0.278732910360389,-0.144565090716576,0.174590356894669,-0.155554414817879,0.140922376891491,0.173443812717814,0.0759664000745225,0.182770326543533,-0.802708451731369,-0.0938668641389507,-0.0092681009300994,0.0823105621502712,0.0153684850580984,-0.134455656743433
"blum",0.296534405739385,-0.36846476744929,-0.0308684227469616,0.0182209844840471,0.0695955174944218,0.0210700626011224,0.105362259855598,-0.171860547411152,0.149810328859187,0.273360308915431,-0.219976503680088,0.746341626790221,-0.142826645679251,-0.0781490748652556,-0.000502611677704912
"fri",0.186990485756079,0.374301317921066,-0.228322945212062,-0.020443934256941,-0.138138625863842,-0.387774294160792,-0.194553734441934,-0.486415411144204,0.119900895951698,-0.173296819767241,0.46347692606951,0.239589211848656,0.0811944208132784,0.0689252992110045,-0.0227238654857775
"bet",0.354450239286933,0.294914223691233,0.0121502105083471,0.107887705523052,0.0154805789951943,0.124713547534631,-0.068295080821301,0.20670450190019,-0.00510524260681518,0.0625434717957393,0.0836210966343838,-0.0295140283333165,-0.00301903481681501,-0.82630337386848,-0.133534498186504
"bft",0.348904301011455,0.201412931394764,-0.165260710776545,0.0238286914684617,0.144554661259818,0.0570675463517343,-0.0531114057180464,0.0148361944768239,-0.570575220725947,0.0230721075661245,-0.316398410298869,0.0894574447282306,0.552564260681213,0.206866629944379,0.0174918220627932
"sau",-0.00107854439161601,0.169581948626983,-0.469811467944131,-0.422862292131311,0.00875714381487,-0.318632988795355,0.612943740811628,0.252016167740525,0.103000213173699,0.0564269388701319,-0.103888898795403,-0.0289696401874717,-0.0339986155095599,-0.0501631633733605,0.042334183569478
"sail",0.319654319639197,0.301551981164912,-0.0169629573278631,0.0310259790137168,-0.149368678845995,-0.112626153090192,-0.254732185455434,-0.109293311538698,0.203514433896059,0.0186169040661188,-0.59867434931859,-0.244588460252398,-0.444112755132812,0.154082635385747,0.113274866239482
"sbft",0.0521861229442932,-0.0128753414947849,-0.0072388725728195,0.180822345607516,-0.851788806456424,0.185015993364397,0.287020268760966,-0.110647278915087,-0.156700869660331,0.267912041245349,0.0597494247186611,-0.059399043936914,0.0567933897083766,0.0225131183202087,0.0529204535869841
"slt",-0.0420103913714131,0.0089037435763012,-0.368187013563107,-0.569459772165903,-0.134409480231871,0.603895280281591,-0.365076829780004,0.00320262597883971,0.113024215012719,0.00471422882320442,0.0518919804559729,0.0619739601678771,-4.21428224050274e-05,0.0344433055903448,-0.0417897754749549
"shos",0.0966998646678586,-0.395114440139817,-0.426005812189597,0.245431139802155,0.0249383124982664,-0.193623616890182,-0.247081661337919,0.0228486817394032,0.358406003659595,0.33745687855117,-0.000535282984927264,-0.34449831002575,0.360554597732572,-0.0378801180303875,-0.0262103628432943
"strm",0.328018162555383,-0.183363597121677,-0.316333336813568,0.16911775760302,0.143533316359664,0.0530936307249004,-0.0254659679972107,0.196876173802095,-0.39776664392367,0.0651828700808418,0.403623521342666,-0.110637675364729,-0.53307948017552,0.194877700840521,0.08668326408157
"lesc",0.128904539322289,-0.235236556498942,0.244796311432435,-0.34182925255849,-0.35138229445086,-0.455282831941377,-0.373398529548977,0.482817680414601,-0.127813004071734,-0.0772333327544004,0.0367497465080969,0.134929896953074,0.0543365470234756,-0.00870157016059084,0.0556561910712287
