"","Comp.1","Comp.2","yft","skp","alb","swo","blum","fri","bet","bft","sau","sail","sbft","slt","shos","strm","lesc"
"Comp.1",1,-0.22416703393571,0.549439468457751,0.762762015180914,0.521813372617033,0.626976731570513,0.691340823934646,0.164948660615609,0.45596299137516,0.307823993562398,-0.158515087529781,0.444865914752173,-0.0620003812716015,-0.145058971605366,0.220270167654258,0.651378288388922,0.470522272550659
"Comp.2",-0.22416703393571,1,0.379473453499578,-0.0884353075023724,-0.644061020928468,-0.493313816595613,-0.638634590648763,0.444504316515586,0.50890672364918,0.057935338534323,-0.000538720184160539,0.235470758671768,0.131563314394408,0.0407702801796616,-0.760888048644034,-0.550853030365614,-0.484645680819875
"yft",0.549439468457751,0.379473453499578,1,0.589865053888064,-0.06864260878184,0.147207739989952,0.176581000024368,0.22406399799938,0.768362208393621,0.112149075888039,-0.385527462253133,0.33747078181357,0.000440566955647708,-0.251636893243136,-0.371847549147465,0.0463917370471655,0.0387735266900294
"skp",0.762762015180914,-0.0884353075023724,0.589865053888064,1,0.493220193689833,0.323438788265988,0.509989277768221,0.185578010648646,0.457364927280034,0.126309691055715,-0.269014492835351,0.46858309553764,-0.0168183491037989,-0.0861731943590534,0.0125276883555513,0.428506224728261,0.473204895974461
"alb",0.521813372617033,-0.644061020928468,-0.06864260878184,0.493220193689833,1,0.457341549363389,0.680197100915893,-0.111981424070779,-0.140179673107494,0.161809590527903,0.0705372533463055,0.232445449823097,-0.0813024903464333,0.131772354179858,0.574633613309661,0.760085408692115,0.586280866294685
"swo",0.626976731570513,-0.493313816595613,0.147207739989952,0.323438788265988,0.457341549363389,1,0.600289903953807,-0.0595178490649317,0.0881991568489683,0.239637738587556,-0.0588554782945382,0.00787948497017411,-0.066972044268907,-0.108899100669487,0.553384743594698,0.571366567409993,0.267728597169941
"blum",0.691340823934646,-0.638634590648763,0.176581000024368,0.509989277768221,0.680197100915893,0.600289903953807,1,-0.175872118016345,-0.0181025981059342,0.113565000220228,-0.136006238801097,0.182622990905906,-0.0323960772549374,-0.119437204532037,0.482294037351529,0.706599715214663,0.512672286266053
"fri",0.164948660615609,0.444504316515586,0.22406399799938,0.185578010648646,-0.111981424070779,-0.0595178490649317,-0.175872118016345,1,0.497510159923579,0.142448568531848,0.0752833980141838,0.641383551861366,0.445282503032568,0.15818287369543,-0.336915583634741,-0.0367751924659335,-0.075388496367261
"bet",0.45596299137516,0.50890672364918,0.768362208393621,0.457364927280034,-0.140179673107494,0.0881991568489683,-0.0181025981059342,0.497510159923579,1,0.169395529180003,-0.293681620098946,0.492065339128621,0.157797832973285,-0.115124410571312,-0.417061019193252,-0.0104112524117362,-0.0524240813800554
"bft",0.307823993562398,0.057935338534323,0.112149075888039,0.126309691055715,0.161809590527903,0.239637738587556,0.113565000220228,0.142448568531848,0.169395529180003,1,0.253657146958056,0.341900626719668,-0.240579674352076,-0.0947901748472277,0.0189087696803207,0.292664147327377,0.00388752323949401
"sau",-0.158515087529781,-0.000538720184160539,-0.385527462253133,-0.269014492835351,0.0705372533463055,-0.0588554782945382,-0.136006238801097,0.0752833980141838,-0.293681620098946,0.253657146958056,1,-0.034418536361143,-0.191304465501374,0.477068721870327,0.143530521982903,0.0365722660140323,-0.274829084226373
"sail",0.444865914752173,0.235470758671768,0.33747078181357,0.46858309553764,0.232445449823097,0.00787948497017411,0.182622990905906,0.641383551861366,0.492065339128621,0.341900626719668,-0.034418536361143,1,0.34131465764322,0.0306020520007723,-0.283402678230586,0.236537434553818,0.335189682036905
"sbft",-0.0620003812716015,0.131563314394408,0.000440566955647708,-0.0168183491037989,-0.0813024903464333,-0.066972044268907,-0.0323960772549374,0.445282503032568,0.157797832973285,-0.240579674352076,-0.191304465501374,0.34131465764322,1,0.13673128545486,-0.238933040845351,-0.135795385569638,0.0372001345664653
"slt",-0.145058971605366,0.0407702801796616,-0.251636893243136,-0.0861731943590534,0.131772354179858,-0.108899100669487,-0.119437204532037,0.15818287369543,-0.115124410571312,-0.0947901748472277,0.477068721870327,0.0306020520007723,0.13673128545486,1,0.0691005535770033,-0.0211456369500479,-0.202965926571748
"shos",0.220270167654258,-0.760888048644034,-0.371847549147465,0.0125276883555513,0.574633613309661,0.553384743594698,0.482294037351529,-0.336915583634741,-0.417061019193252,0.0189087696803207,0.143530521982903,-0.283402678230586,-0.238933040845351,0.0691005535770033,1,0.573929687499945,0.364520858155131
"strm",0.651378288388922,-0.550853030365614,0.0463917370471655,0.428506224728261,0.760085408692115,0.571366567409993,0.706599715214663,-0.0367751924659335,-0.0104112524117362,0.292664147327377,0.0365722660140323,0.236537434553818,-0.135795385569638,-0.0211456369500479,0.573929687499945,1,0.52904444306452
"lesc",0.470522272550659,-0.484645680819875,0.0387735266900294,0.473204895974461,0.586280866294685,0.267728597169941,0.512672286266053,-0.075388496367261,-0.0524240813800554,0.00388752323949401,-0.274829084226373,0.335189682036905,0.0372001345664653,-0.202965926571748,0.364520858155131,0.52904444306452,1
