"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10","Comp.11","Comp.12","Comp.13","Comp.14","Comp.15"
"yft",0.3147131005351,0.301047445597954,0.200377113019783,0.0336742121390232,0.108349202070033,0.230901726327603,0.0364294258022082,0.131532434533883,0.285940042911537,0.201118982675481,0.372907193179923,0.53586576999863,0.128617974926315,0.268942489037994,0.219232801509976
"skp",0.352642335293874,0.0367702384231953,0.0771121574956835,-0.00780735675100718,0.0146254165820423,0.35239585077652,0.360113910595908,0.0556964870186867,-0.126206075037739,0.368276523347066,0.20517628212511,-0.459217344847506,-0.419465704532457,-0.169520927493582,-0.0433700107032303
"alb",0.251068349741603,-0.362035508468714,-0.122074221867045,-0.114889749219313,-0.285999257068044,0.339694094477686,-0.0968221187992414,-0.272726424348482,-0.266885882552021,-0.0268195924894693,0.146419845858955,-0.18056511936005,0.491054996223038,0.35256927094367,0.0736296651183163
"swo",0.374619677618879,-0.122574020639692,0.0168304943365941,-0.185274342899519,0.167616833838786,-0.0891675278706506,-0.149637755712273,0.0603414261934106,0.32362074972108,-0.248671946075242,-0.240340302323449,-0.152955728073802,-0.345400227096022,0.562107890424908,-0.254859613952079
"blum",0.356621258738916,-0.18161589894773,0.0549643994727651,-0.107031552787418,0.214949888543587,-0.0100566234824756,-0.256960795195349,0.149746497406716,0.435376515626458,-0.0494737572321586,-0.0545430945742994,-0.241596534142249,0.355620915601355,-0.532210139427438,0.165965613721965
"fri",0.0916630002370059,0.451327548348442,-0.128223037278322,0.251174470037714,-0.343752336985224,0.0277248913366868,-0.440443454949561,-0.16454919284592,0.0683009152910506,-0.370629736701788,0.326007673771943,-0.231906294233794,-0.215500116059862,-0.0737380625268456,0.119999220153485
"bet",0.355047630827994,0.286751127930063,-0.0103756468117054,0.0238098116011416,0.0176514707957797,-0.298266523127229,0.131914046468271,-0.029599038888851,-0.202652612776111,-0.0590602082189481,0.147362585246063,0.0590849781122542,0.322515897516775,-0.130645466755874,-0.701883750586161
"bft",-0.00473580314781213,0.170978449146153,-0.645483641236167,-0.112539503355634,0.0235673351558623,0.28050141710768,-0.0272363958274391,0.646367927818354,-0.138748158392303,-0.0872839020131009,-0.101896191372349,0.0334194000931953,0.0660137547567117,0.020664288460537,-0.0224908372483839
"sau",-0.105317948955654,0.0920930647624367,-0.599676544052732,-0.312143138220687,0.238640836265043,-0.0993517781162608,0.154106679718392,-0.510168401510804,0.312637316670899,0.167920962054474,0.213524490327588,-0.00746443797336652,-0.0256030204438794,-0.0126489554080974,0.0117188667511105
"sail",0.245102663028562,0.363854629503139,-0.117281724681892,0.188333077961262,-0.263263002750496,-0.0861386963949061,0.013471096902608,-0.175303064804983,0.0626777347435428,0.397167845766906,-0.660021518402486,-0.0443689856733575,0.128507759631542,0.0713869563554936,0.17260380569439
"sbft",0.32478560973037,0.044191297551912,-0.049987161191997,-0.144121975071202,0.147410510625069,-0.499500549046858,0.254321465495282,0.0552120438219659,-0.385137068391211,-0.24946545971728,0.0681854969358527,-0.0248100937039722,-0.0383479119650024,0.048681421426113,0.557372693345939
"slt",-0.010874213709124,-0.133350036828533,0.00972772322615745,-0.381847504983034,-0.730191718357283,-0.297503641408966,0.164637696404133,0.246240071384251,0.287450576558784,0.114305673062702,0.150757071717727,0.0493330284818273,-0.0600118732795167,-0.0433761022072895,-0.0207675960035113
"shos",0.0522598978677803,-0.33635625063572,-0.249066704855429,0.506989391698056,0.0658990808648332,-0.391176347853298,-0.272120154691726,0.187465632191867,-0.00851795767990713,0.444650011961713,0.266082626699361,-0.0593793359747716,-0.048372279534012,0.154237942566298,-0.0162869359603825
"strm",0.335430094814603,-0.266936129879618,-0.146666838332645,-0.124570827001846,-0.096371328749201,0.102296638010003,-0.299909338125107,-0.197068703030811,-0.246873201669969,0.0370688278352286,-0.122887035640158,0.544802693527876,-0.375603068778818,-0.334753179363418,-0.0574452018511782
"lesc",0.139807656384386,-0.262272192922445,-0.207346663013886,0.539874947911943,-0.13462046159913,0.10891032523295,0.52853775244577,-0.0688718828221931,0.279583757200429,-0.387452715690188,-0.0615378852922769,0.154276668716337,-0.0113784233934367,-0.0844129231673914,-4.71548551500864e-05
