"","Comp.1","Comp.2","yft","skp","alb","swo","blum","fri","bet","bft","sau","sail","sbft","slt","shos","strm","lesc"
"Comp.1",1,0.00799075053268214,0.806228624572558,0.851337018661866,0.447543007899343,0.730278057772019,0.796459995217441,0.351403594844471,0.613831926282648,-0.29541832453962,-0.552607181095952,0.58184512604383,0.201535986291992,0.111176887143606,0.0209588474599995,0.650177606329774,0.560183018680664
"Comp.2",0.00799075053268214,1,0.445602076741216,0.122927007931193,-0.568102832956596,-0.0754639079059708,-0.267959250994724,0.407878781552722,0.476765910868016,0.0360907391797082,-0.00104423267912953,0.178641130047496,-0.374744730336126,-0.393609945101428,-0.589844773069142,-0.360344735815179,-0.273731998905986
"yft",0.806228624572558,0.445602076741216,1,0.766857524004672,0.0599621372612643,0.589279874284233,0.559831915632314,0.423640218044456,0.75806460258527,-0.302517107764576,-0.501259244456375,0.480124667907576,-0.0419236349933621,-0.12613064000637,-0.28175298529106,0.365339999676705,0.257215351971676
"skp",0.851337018661866,0.122927007931193,0.766857524004672,1,0.38239498898378,0.594736597439543,0.705427277087471,0.276005191516018,0.544744698623372,-0.210888712154174,-0.497346542285507,0.512639996967294,0.114748017669037,0.0406161327143659,-0.0809723925126846,0.493805150818462,0.56264770018995
"alb",0.447543007899343,-0.568102832956596,0.0599621372612643,0.38239498898378,1,0.403705739682716,0.597078130161369,-0.128619519870981,-0.0154656914987491,-0.00974626357061434,-0.170484192221427,0.288235437183983,0.397505585891508,0.3581772225915,0.456317220440137,0.687879894487093,0.560176470414196
"swo",0.730278057772019,-0.0754639079059708,0.589279874284233,0.594736597439543,0.403705739682716,1,0.7213816562723,0.271515352681008,0.495143616183009,-0.202089003745822,-0.457662374695034,0.449384800963326,0.309343590037544,0.229674470306859,0.146197555674741,0.543455828655727,0.341493007769678
"blum",0.796459995217441,-0.267959250994724,0.559831915632314,0.705427277087471,0.597078130161369,0.7213816562723,1,0.0438709081401738,0.327358443233872,-0.268553062789246,-0.487330921727647,0.356378678143787,0.245301991339117,0.175740857738244,0.203557241038246,0.692706512032072,0.5702741373237
"fri",0.351403594844471,0.407878781552722,0.423640218044456,0.276005191516018,-0.128619519870981,0.271515352681008,0.0438709081401738,1,0.640910702680965,-0.0346251414081801,-0.234539489267295,0.655114666238171,0.254078410466999,0.22615034556906,-0.385251787894612,0.0404523550542181,0.00419915714695823
"bet",0.613831926282648,0.476765910868016,0.75806460258527,0.544744698623372,-0.0154656914987491,0.495143616183009,0.327358443233872,0.640910702680965,1,-0.147268702446867,-0.366680373540834,0.604495453776715,0.112600422636601,0.0299925179765728,-0.279915068251993,0.186646723889341,0.0934931399349062
"bft",-0.29541832453962,0.0360907391797082,-0.302517107764576,-0.210888712154174,-0.00974626357061434,-0.202089003745822,-0.268553062789246,-0.0346251414081801,-0.147268702446867,1,0.555391308159724,-0.152662905751742,-0.0819058453374115,-0.0766447051286522,0.270696883028109,-0.124756436190163,-0.0514222492634135
"sau",-0.552607181095952,-0.00104423267912953,-0.501259244456375,-0.497346542285507,-0.170484192221427,-0.457662374695034,-0.487330921727647,-0.234539489267295,-0.366680373540834,0.555391308159724,1,-0.499420908025745,-0.188197485322993,-0.117663721415756,0.234106813805727,-0.300072463991202,-0.417716705283695
"sail",0.58184512604383,0.178641130047496,0.480124667907576,0.512639996967294,0.288235437183983,0.449384800963326,0.356378678143787,0.655114666238171,0.604495453776715,-0.152662905751742,-0.499420908025745,1,0.356619326390925,0.30276243207952,-0.32228785737611,0.321223284740489,0.393339453641935
"sbft",0.201535986291992,-0.374744730336126,-0.0419236349933621,0.114748017669037,0.397505585891508,0.309343590037544,0.245301991339117,0.254078410466999,0.112600422636601,-0.0819058453374115,-0.188197485322993,0.356619326390925,1,0.967069411089679,0.0535616645811358,0.21944634018092,0.100528593387946
"slt",0.111176887143606,-0.393609945101428,-0.12613064000637,0.0406161327143659,0.3581772225915,0.229674470306859,0.175740857738244,0.22615034556906,0.0299925179765728,-0.0766447051286522,-0.117663721415756,0.30276243207952,0.967069411089679,1,0.0378769265128424,0.143308472570566,0.0349506575479641
"shos",0.0209588474599995,-0.589844773069142,-0.28175298529106,-0.0809723925126846,0.456317220440137,0.146197555674741,0.203557241038246,-0.385251787894612,-0.279915068251993,0.270696883028109,0.234106813805727,-0.32228785737611,0.0535616645811358,0.0378769265128424,1,0.355237023532277,0.214196078905244
"strm",0.650177606329774,-0.360344735815179,0.365339999676705,0.493805150818462,0.687879894487093,0.543455828655727,0.692706512032072,0.0404523550542181,0.186646723889341,-0.124756436190163,-0.300072463991202,0.321223284740489,0.21944634018092,0.143308472570566,0.355237023532277,1,0.509523142565671
"lesc",0.560183018680664,-0.273731998905986,0.257215351971676,0.56264770018995,0.560176470414196,0.341493007769678,0.5702741373237,0.00419915714695823,0.0934931399349062,-0.0514222492634135,-0.417716705283695,0.393339453641935,0.100528593387946,0.0349506575479641,0.214196078905244,0.509523142565671,1
