"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10","Comp.11","Comp.12","Comp.13","Comp.14","Comp.15"
"yft",0.407502367108555,0.11762440133456,0.1021274640712,0.238658414093809,0.171540484235341,0.285217225617484,0.233447901248138,0.130857984122481,0.112642691829198,0.0254165700705667,0.0228079118752369,0.329734912681238,0.0674973536240547,0.402730974356031,0.530088580669434
"skp",0.384928582456686,-0.134392464298178,0.276208581151292,-0.0192663169288333,0.186294237649719,0.194928978247517,0.105865351446973,0.0876651403435467,-0.250672582475816,0.13186962502965,-0.205165004534225,0.331516581390868,-0.124977778952079,-0.609192105179487,-0.215763877860962
"alb",0.135835846436129,-0.35540554813235,0.340555408059155,-0.292431775575539,0.0934992619575473,-0.0415819368529463,-0.175762799050843,-0.385821297937344,-0.254966373319847,-0.157871383043884,-0.460851165864115,-0.162714979963151,0.0323156082095093,0.344640571808362,0.122093307608158
"swo",0.0907488946132448,-0.350989390810861,-0.462838407712686,0.143789373964932,-0.00898076162579482,0.185423626897263,0.0923767447343356,0.0312217922501776,-0.0524956233234774,0.222770728348083,-0.221933908665669,-0.169071400537455,0.672739374703855,-0.0800285464029763,-0.0223662801295133
"blum",0.153756448211395,-0.391287334949942,0.326065834639397,-0.0510327573489973,0.106960290001799,0.0487898295749216,0.00129816633922524,-0.307036199087133,0.32160523192385,0.133168276175288,0.659224568487987,-0.105466380959049,0.175327757260501,-0.0551014287380546,-0.07480740137505
"fri",0.306158406562995,0.238033094987629,-0.208099539765363,-0.0635219380061745,-0.247243148906318,-0.25519639218054,-0.146929889084214,-0.410940575029508,-0.0719343938163401,-0.346374362362513,0.116109803946668,0.479550162821684,0.318746256321804,-0.0408098349082524,-0.116994355645226
"bet",0.432661204282116,0.186731276227386,-0.103704535502083,0.0449878564315676,0.164457570820599,0.122239209350341,0.0370548037088079,0.0374120765667093,0.274758096850268,-0.0543328263580224,-0.128368752076044,-0.232949624481052,-0.123644934161392,0.337466154811317,-0.664857976395503
"bft",0.312449667915966,0.122326807646326,-0.0186947403680375,-0.262231305768243,-0.454823726352794,-0.158022579795477,-0.0465221970615903,0.0312689584649042,-0.215142701721632,0.697527273972902,0.0889476740912415,-0.0644661711783345,-0.107069602245145,0.159079384480101,0.040624862609639
"sau",-0.141934014825871,0.176845678583875,-0.0906191599829492,-0.512381070206775,0.00679470499936204,0.674911851088988,-0.420621147807108,0.0174685104196786,0.137943236388021,0.0306343401343282,0.0307708469049438,0.134772409743517,0.0730768187371543,-0.0153626092217145,0.0200298935915035
"sail",0.396418147200538,0.192763657132032,-0.19403608268657,-0.1091859177865,0.101007750908272,-0.124280388320959,-0.13947065756879,-0.106772675676017,0.276459501366062,-0.120047466076647,-0.0853305416289214,-0.46752471505281,-0.123110606910187,-0.420115842132176,0.437341007570055
"sbft",0.0648169238663897,-0.250640591120564,-0.490170325002074,0.0841563952183547,-8.20177032409571e-05,0.306101945613703,0.139004331329422,-0.309870686822645,-0.382324850318468,-0.119732598514623,0.260883817385332,-0.0451627486754301,-0.491447149432789,0.0554158187212187,0.037268211240246
"slt",-0.119677416506199,0.119053714702751,-0.107650088737012,-0.592834572720659,0.192745502440824,-0.0952072535101622,0.731711164608346,-0.115688900850901,0.0775159008876878,0.00817341948675141,-0.0250999337464526,0.0429438108723691,0.0697910239815391,-0.00618935565149698,0.00172173069080755
"shos",-0.0163063787945641,-0.463951058527057,-0.216336569304785,-0.0661942319333084,-0.217682147377348,-0.134685069443654,-0.0370149513636517,0.00350602719750116,0.58574938096826,0.0820569725425986,-0.277987016110875,0.375410046668188,-0.312205550191832,0.00920752385031002,0.0281085982249826
"strm",0.228153637132899,-0.265498090079565,0.0731877926174128,-0.254025120445919,-0.427871825032711,0.0510366717552526,0.116471469844104,0.557682504233738,-0.0869438148539183,-0.490563942363181,0.166415136560734,-0.135420723532325,0.0524405885927393,0.0171861110591695,0.00516639260290512
"lesc",0.093562975844515,-0.166829327345872,-0.269216762726223,-0.239059000507931,0.585410603856399,-0.377709397554028,-0.322036911968626,0.357359702121208,-0.167414454599075,0.0554075915374977,0.203495999139075,0.164009535137032,-0.00113038494270399,0.131898030509552,0.0140592404002041
