"","Comp.1","Comp.2","yft","skp","alb","swo","blum","fri","bet","bft","sau","sail","sbft","slt","shos","strm","lesc"
"Comp.1",1,-0.344650711532369,0.799465132211671,0.833340789071592,0.476281321685062,0.406628099826694,0.627737786724197,0.303373626714111,0.716984721407641,0.38153648358704,-0.413040727090825,0.502503382400585,-0.273684816533292,-0.375077260688173,0.000793563979665089,0.547806617437688,0.153912044051717
"Comp.2",-0.344650711532369,1,-0.0198459753776089,-0.409996322071377,-0.683316730985855,-0.575399790647799,-0.688494476313688,0.22764740184438,0.104047822491849,-0.152487097934827,0.172892887728657,0.038986629162568,0.195020986841335,0.108480970134858,-0.73416218872891,-0.621932640793281,-0.386741647834943
"yft",0.799465132211671,-0.0198459753776089,1,0.651358233381964,0.147795601399099,0.219740503304213,0.437427489990175,0.168944454890205,0.796409551221483,0.237056250458414,-0.462199099712794,0.288449400950197,-0.348673125577653,-0.408393110333889,-0.289575309825805,0.257104409020411,-0.175490260129298
"skp",0.833340789071592,-0.409996322071377,0.651358233381964,1,0.603921635128491,0.340048164117581,0.614607952413294,0.205687126979533,0.520717255130596,0.391524103435896,-0.410537314526802,0.440544961439684,-0.325613541397983,-0.32523624189397,0.0716093239489897,0.485994690389219,0.249386443675135
"alb",0.476281321685062,-0.683316730985855,0.147795601399099,0.603921635128491,1,0.366110602213188,0.67204591662081,-0.0598850611657874,0.037389589942276,0.320987432286544,-0.152916808348483,0.221462870380904,-0.245305776723735,-0.120468139434466,0.522146980960032,0.702993637733977,0.401851949913405
"swo",0.406628099826694,-0.575399790647799,0.219740503304213,0.340048164117581,0.366110602213188,1,0.419617646372737,0.0606106055068643,0.186238574199603,0.157089298401253,-0.148779220891873,0.0849482116618244,0.126010277161856,-0.0584926604076488,0.473285474378892,0.502273993539003,0.229811250844297
"blum",0.627737786724197,-0.688494476313688,0.437427489990175,0.614607952413294,0.67204591662081,0.419617646372737,1,-0.210602326551727,0.242455757522307,0.134267502050818,-0.437442153664307,0.0902903609511441,-0.340112916561832,-0.358759648945318,0.310070968245029,0.604412783901718,0.195731261943094
"fri",0.303373626714111,0.22764740184438,0.168944454890205,0.205687126979533,-0.0598850611657874,0.0606106055068643,-0.210602326551727,1,0.40057652431932,0.385858960349695,-0.0221538211850497,0.705206008795814,0.368476507439434,-0.00654514008997671,-0.256250858908995,0.109406405890194,0.110595587142231
"bet",0.716984721407641,0.104047822491849,0.796409551221483,0.520717255130596,0.037389589942276,0.186238574199603,0.242455757522307,0.40057652431932,1,0.281288919845141,-0.434250077446969,0.456811130440472,-0.0927585126765697,-0.356324128380023,-0.381354860524261,0.17905993307061,-0.133938554555553
"bft",0.38153648358704,-0.152487097934827,0.237056250458414,0.391524103435896,0.320987432286544,0.157089298401253,0.134267502050818,0.385858960349695,0.281288919845141,1,0.00310220352169955,0.459857358089609,-0.014525672889624,-0.0595063881285337,0.0507790979670444,0.332207519342994,0.0202998409638483
"sau",-0.413040727090825,0.172892887728657,-0.462199099712794,-0.410537314526802,-0.152916808348483,-0.148779220891873,-0.437442153664307,-0.0221538211850497,-0.434250077446969,0.00310220352169955,1,-0.102034604792525,0.10873793767093,0.555618173305816,0.176340697928866,-0.200485171869073,0.0656541414788863
"sail",0.502503382400585,0.038986629162568,0.288449400950197,0.440544961439684,0.221462870380904,0.0849482116618244,0.0902903609511441,0.705206008795814,0.456811130440472,0.459857358089609,-0.102034604792525,1,0.18872044693732,-0.102948100559089,-0.191488931664009,0.300611668183345,0.291158831341341
"sbft",-0.273684816533292,0.195020986841335,-0.348673125577653,-0.325613541397983,-0.245305776723735,0.126010277161856,-0.340112916561832,0.368476507439434,-0.0927585126765697,-0.014525672889624,0.10873793767093,0.18872044693732,1,0.213346483330386,-0.0788394163101176,-0.09955906271444,0.102892583778574
"slt",-0.375077260688173,0.108480970134858,-0.408393110333889,-0.32523624189397,-0.120468139434466,-0.0584926604076488,-0.358759648945318,-0.00654514008997671,-0.356324128380023,-0.0595063881285337,0.555618173305816,-0.102948100559089,0.213346483330386,1,0.154176880709245,-0.18238934829574,0.0593742659982955
"shos",0.000793563979665089,-0.73416218872891,-0.289575309825805,0.0716093239489897,0.522146980960032,0.473285474378892,0.310070968245029,-0.256250858908995,-0.381354860524261,0.0507790979670444,0.176340697928866,-0.191488931664009,-0.0788394163101176,0.154176880709245,1,0.43624016605139,0.397174737777002
"strm",0.547806617437688,-0.621932640793281,0.257104409020411,0.485994690389219,0.702993637733977,0.502273993539003,0.604412783901718,0.109406405890194,0.17905993307061,0.332207519342994,-0.200485171869073,0.300611668183345,-0.09955906271444,-0.18238934829574,0.43624016605139,1,0.27632905543597
"lesc",0.153912044051717,-0.386741647834943,-0.175490260129298,0.249386443675135,0.401851949913405,0.229811250844297,0.195731261943094,0.110595587142231,-0.133938554555553,0.0202998409638483,0.0656541414788863,0.291158831341341,0.102892583778574,0.0593742659982955,0.397174737777002,0.27632905543597,1
