"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10","Comp.11","Comp.12","Comp.13","Comp.14","Comp.15"
"yft",0.398691742383166,0.18868761740701,0.128332089366952,0.175767648173583,0.0784300358531727,0.266194758402864,0.12162944226526,0.250054940134759,0.011239573110793,0.100815804054106,0.258845132415031,0.144659600125353,0.0386794250899521,0.584881403382315,0.402425969922929
"skp",0.420394924899377,-0.0282405142308758,0.226300587970465,0.0174278078715619,0.023022636475197,0.140851416192221,0.0448084977607352,0.197953472787221,0.218354524624072,0.197235737931301,0.0685167738383503,0.209215275190663,-0.343616656084776,-0.666511774928549,0.109707734045512
"alb",0.160821510914472,-0.34762418402822,0.288400556595025,-0.19507656920255,-0.238689492250875,0.138801332606367,-0.193539338979264,-0.404109245407684,0.41578434000542,0.0931363965184079,-0.403092635090709,0.160063169261138,-0.0359758392624144,0.289846382672119,0.0101879773137474
"swo",0.154549272885514,-0.322079739074756,-0.469453471489971,0.130083185462639,0.108857315622388,0.191169286789953,0.056672716072945,0.102069029323422,0.128980456585492,-0.11323436290163,-0.0684710669527016,0.422713764526173,0.57893108277698,-0.142117839703922,-0.0696677845484955
"blum",0.22209113716918,-0.361941935494462,0.350574611312736,-0.0603070283260794,-0.112671689354849,0.211790247341075,-0.00393772696121733,-0.0198285994084708,-0.166656266563391,0.00272892400328418,0.329873584830412,-0.541242895726272,0.420357400713577,-0.118922489029395,-0.121615187267539
"fri",0.235895878202508,0.252370546948008,-0.269709137132715,-0.00943429280581303,-0.00775531304948522,-0.0883379632389171,-0.223024866317086,-0.674045350053022,-0.131553186132424,0.355825741262085,0.34254481331071,0.0786811709188806,0.0997334534271395,-0.10242564110547,0.0894740364304113
"bet",0.438295018659323,0.238077736186329,-0.0759983909432472,-0.0642427077668604,0.0235759276489239,0.106156293815141,0.046048385645335,-0.00353621735574625,-0.0158178221064386,-0.202158968789821,0.0203812336882909,0.0288594588959099,-0.181874329414119,0.174320019603882,-0.788367420268953
"bft",0.282334733392977,0.128166356935112,-0.0268815360173522,-0.30400938751992,0.3624687202032,-0.503943382099691,-0.110009511374763,0.0615378781346364,0.456763616715725,-0.276939919790924,0.029402105571644,-0.244408701963503,0.186576676441003,-0.00181547396069425,0.169533712844745
"sau",-0.149445502579727,0.158376239977852,-0.0932894563630001,-0.554551722507154,-0.047884305529863,0.368481846255342,-0.618046997862733,0.296291718129409,-0.0595737256642194,-0.0121054414876755,0.119143017297854,0.092613359357623,0.0294804024724755,-0.016523766438644,0.0299971471519024
"sail",0.338268229509628,0.210319713885435,-0.179388448962409,-0.0751764606635799,-0.260793532683208,0.172671063424754,0.0748107466017768,-0.109885927902723,-0.347102441892761,-0.386110283528214,-0.480781963722222,-0.212027348530384,0.00705732318578292,-0.149107132554977,0.346493126967702
"sbft",0.0544503944592581,-0.219580150192798,-0.55711564661553,0.0986361346300312,0.100533021506117,0.221527777007658,-0.0431456694165796,0.103134478613951,0.239661193095038,0.328438443505856,-0.0930544982902965,-0.530449426136608,-0.303887363743919,0.0946257648563447,0.0196588491928369
"slt",-0.152815772682411,0.090891499868779,-0.07853162150064,-0.608685945642827,0.0375315357820849,0.222842080457944,0.695199199364953,-0.135345003267893,0.112363590305808,0.120073238614288,0.0959042354534883,0.0203166810271041,0.0353079509113571,-0.0123595887897133,0.031303567975467
"shos",0.05373545159756,-0.515802438471501,-0.161908688971286,-0.133957122583242,0.0399970632114877,-0.0600191646640542,-0.00198776038819411,-0.150993052277319,-0.173380242043496,-0.470772996149418,0.399921387503303,0.15043120037161,-0.439792489433091,0.0854055728629155,0.154694418558686
"strm",0.245379845114574,-0.280893490182619,0.0106278716179941,-0.304962427013617,0.24419382165046,-0.342301608116085,0.00927630521927524,0.192246085775166,-0.520461407650279,0.422580672927601,-0.279599741925596,0.110180407137153,-0.00434411789627,0.112337575434469,-0.0389625775852727
"lesc",0.107710610467835,-0.0217626443699105,-0.207021626506828,-0.0959028278854415,-0.797965902318456,-0.387947058624214,0.0756230502493124,0.278314046878728,0.116985716803056,0.116343153779608,0.179952857580372,0.0346537561454491,0.0386059044415855,0.0540041390948052,-0.0150759894150168
