"","Comp.1","Comp.2","yft","skp","alb","swo","blum","fri","bet","bft","sau","sail","sbft","slt","shos","strm","lesc"
"Comp.1",1,-0.0835647779124753,0.801995463013867,0.820692836626406,0.265926819254316,0.209151172511781,0.555998658278214,0.0983703352021081,0.698666661416473,0.443325366052098,-0.544541284825013,0.416925605884777,-0.248184210918891,-0.422655649064814,0.0667161992872876,0.35410482784042,-0.0235617958333664
"Comp.2",-0.0835647779124753,1,0.185418982618301,-0.145970649107029,-0.555176973586332,-0.496150501835273,-0.527797464194537,0.213255528998789,0.277200175374266,-0.118969037250587,-0.0449913591420257,-0.0626227080064822,0.0182964473863036,0.0472574148923266,-0.809524546684189,-0.667311489267691,-0.430230319794286
"yft",0.801995463013867,0.185418982618301,1,0.662538867037928,-0.0374620321292879,0.0635663030527669,0.417123269910024,-0.00947119286643988,0.732965446865833,0.257801278573544,-0.559247625873777,0.173901864042308,-0.300182583824154,-0.426136940420495,-0.202718831892608,0.0317610670103871,-0.342785502895174
"skp",0.820692836626406,-0.145970649107029,0.662538867037928,1,0.351558473965351,0.153677533615621,0.495984782227691,-0.0453189340142531,0.456136393111868,0.372559313566561,-0.537232041066333,0.36549392469965,-0.3095713982668,-0.376492702661515,0.0940751153999248,0.347758716476851,0.0516741474940371
"alb",0.265926819254316,-0.555176973586332,-0.0374620321292879,0.351558473965351,1,0.164805833963581,0.460904114759327,-0.0881686653572314,-0.154054944995316,0.335664620830771,-0.091318581938906,0.218312399916887,-0.0402016954490539,-0.0393373878909729,0.582428592424541,0.732725255069487,0.441545498944207
"swo",0.209151172511781,-0.496150501835273,0.0635663030527669,0.153677533615621,0.164805833963581,1,0.193412053883072,0.0723158833989209,0.107520364079396,0.169740008321752,0.0992984975922304,0.181122389401486,0.248632842469763,-0.015619829375195,0.441323086619482,0.398697886550623,0.235465830826046
"blum",0.555998658278214,-0.527797464194537,0.417123269910024,0.495984782227691,0.460904114759327,0.193412053883072,1,-0.3248346147387,0.223852291636504,0.191545353794365,-0.441863961944791,0.152214351138697,-0.381420459900704,-0.246293290346501,0.485464981695272,0.530649416551004,0.032703228735358
"fri",0.0983703352021081,0.213255528998789,-0.00947119286643988,-0.0453189340142531,-0.0881686653572314,0.0723158833989209,-0.3248346147387,1,0.281674076112971,0.414491557896915,-0.0565438513442686,0.547286659029112,0.430075330753955,-0.0822871499988361,-0.1776521932642,0.0120096925378301,0.277694159221401
"bet",0.698666661416473,0.277200175374266,0.732965446865833,0.456136393111868,-0.154054944995316,0.107520364079396,0.223852291636504,0.281674076112971,1,0.318828985993554,-0.42369194940584,0.307005923560336,-0.158150694634665,-0.275549010706987,-0.243988545071706,-0.0701353524501991,-0.331872827321919
"bft",0.443325366052098,-0.118969037250587,0.257801278573544,0.372559313566561,0.335664620830771,0.169740008321752,0.191545353794365,0.414491557896915,0.318828985993554,1,-0.267574647084742,0.480817139701215,0.097149281002237,-0.324927965947513,0.102598498004716,0.44875252684956,0.171523101103545
"sau",-0.544541284825013,-0.0449913591420257,-0.559247625873777,-0.537232041066333,-0.091318581938906,0.0992984975922304,-0.441863961944791,-0.0565438513442686,-0.42369194940584,-0.267574647084742,1,-0.21344452227439,0.256562866831581,0.56136516960727,0.0909814674439465,-0.0720040516749608,0.0703806768358042
"sail",0.416925605884777,-0.0626227080064822,0.173901864042308,0.36549392469965,0.218312399916887,0.181122389401486,0.152214351138697,0.547286659029112,0.307005923560336,0.480817139701215,-0.21344452227439,1,0.272561970923069,-0.140914312631855,0.0324296276943025,0.367671368996203,0.379310333078777
"sbft",-0.248184210918891,0.0182964473863036,-0.300182583824154,-0.3095713982668,-0.0402016954490539,0.248632842469763,-0.381420459900704,0.430075330753955,-0.158150694634665,0.097149281002237,0.256562866831581,0.272561970923069,1,0.160218884178506,-0.0541064780630133,0.0335187884132505,0.261006959465708
"slt",-0.422655649064814,0.0472574148923266,-0.426136940420495,-0.376492702661515,-0.0393373878909729,-0.015619829375195,-0.246293290346501,-0.0822871499988361,-0.275549010706987,-0.324927965947513,0.56136516960727,-0.140914312631855,0.160218884178506,1,0.0767609168122365,-0.138414731983819,-0.031299744018286
"shos",0.0667161992872876,-0.809524546684189,-0.202718831892608,0.0940751153999248,0.582428592424541,0.441323086619482,0.485464981695272,-0.1776521932642,-0.243988545071706,0.102598498004716,0.0909814674439465,0.0324296276943025,-0.0541064780630133,0.0767609168122365,1,0.64776298808436,0.383085950040391
"strm",0.35410482784042,-0.667311489267691,0.0317610670103871,0.347758716476851,0.732725255069487,0.398697886550623,0.530649416551004,0.0120096925378301,-0.0701353524501991,0.44875252684956,-0.0720040516749608,0.367671368996203,0.0335187884132505,-0.138414731983819,0.64776298808436,1,0.464218205312017
"lesc",-0.0235617958333664,-0.430230319794286,-0.342785502895174,0.0516741474940371,0.441545498944207,0.235465830826046,0.032703228735358,0.277694159221401,-0.331872827321919,0.171523101103545,0.0703806768358042,0.379310333078777,0.261006959465708,-0.031299744018286,0.383085950040391,0.464218205312017,1
