"","Comp.1","Comp.2","yft","skp","alb","swo","blum","fri","bet","bft","sau","sail","sbft","slt","shos","strm","lesc"
"Comp.1",1,0.0830427860541595,0.750518976915075,0.860844197767963,0.574564801998236,0.70197338592066,0.834601937561792,0.239830070403803,0.665453205081762,0.000738492405545543,-0.440308836565928,0.536508950233194,-0.0217856905934571,-0.14429179523271,0.280566504319618,0.708058737462327,0.637224681953189
"Comp.2",0.0830427860541595,1,0.564926131280884,0.277789762279009,-0.46813025952538,-0.00775043823896739,-0.0911202417140963,0.368510048182707,0.491243041577004,-0.0796578365677888,-0.166406081191143,0.222064999995911,-0.391198441427339,-0.396594918517043,-0.701005861527103,-0.312956733807367,-0.055129398398651
"yft",0.750518976915075,0.564926131280884,1,0.80584117831702,0.159982367449533,0.548768358556084,0.597168758446658,0.304666515293823,0.82212337310719,-0.0784817816169847,-0.388524767883447,0.411075840741702,-0.263948329194006,-0.358129893878778,-0.153572687463869,0.371849777500738,0.355951952270737
"skp",0.860844197767963,0.277789762279009,0.80584117831702,1,0.50839988988833,0.592093329254785,0.770814224184799,0.236171196342825,0.651995551203616,-0.06216567862076,-0.435371407905145,0.520963162598732,-0.113902864243396,-0.206008118352776,0.108569500299187,0.547745598508892,0.600223914462223
"alb",0.574564801998236,-0.46813025952538,0.159982367449533,0.50839988988833,1,0.433905913237101,0.643219315327425,-0.0485962933672333,0.183607728266162,0.00388257896210285,-0.159065379781613,0.326627232010946,0.341279952952277,0.287900355198055,0.556177277235126,0.74685498876786,0.510705004921705
"swo",0.70197338592066,-0.00775043823896739,0.548768358556084,0.592093329254785,0.433905913237101,1,0.623327352972001,0.274874474154967,0.50516625645273,-0.104142612512433,-0.412123946308593,0.472183052720639,0.235602459782666,0.104642877762213,0.298902944583984,0.606448018759159,0.394032382362679
"blum",0.834601937561792,-0.0911202417140963,0.597168758446658,0.770814224184799,0.643219315327425,0.623327352972001,1,0.0337691459490452,0.437133498090889,-0.0633740451926819,-0.384446435698624,0.306328984782057,0.00709588007028679,-0.0737893108319879,0.335375612090677,0.712527465693991,0.553871624920804
"fri",0.239830070403803,0.368510048182707,0.304666515293823,0.236171196342825,-0.0485962933672333,0.274874474154967,0.0337691459490452,1,0.441748326456029,-0.0256640720377053,-0.145934090885685,0.60583078899786,0.189781397040397,0.167308169084852,-0.301785073011942,0.0801581473393916,0.235057982057707
"bet",0.665453205081762,0.491243041577004,0.82212337310719,0.651995551203616,0.183607728266162,0.50516625645273,0.437133498090889,0.441748326456029,1,0.0263266194322036,-0.266747894935337,0.511073416223899,-0.0791625095823478,-0.174439388414311,-0.146983323739435,0.343257678476455,0.340382662751212
"bft",0.000738492405545543,-0.0796578365677888,-0.0784817816169847,-0.06216567862076,0.00388257896210285,-0.104142612512433,-0.0633740451926819,-0.0256640720377053,0.0263266194322036,1,0.449966590879108,-0.151401888712958,-0.246342684793485,-0.217669898713415,0.219358665228177,-0.0400405855127311,0.000125348716948616
"sau",-0.440308836565928,-0.166406081191143,-0.388524767883447,-0.435371407905145,-0.159065379781613,-0.412123946308593,-0.384446435698624,-0.145934090885685,-0.266747894935337,0.449966590879108,1,-0.449935664910795,-0.0725012604272014,0.0983314275219575,0.0422486960173906,-0.317252659778388,-0.48565387437183
"sail",0.536508950233194,0.222064999995911,0.411075840741702,0.520963162598732,0.326627232010946,0.472183052720639,0.306328984782057,0.60583078899786,0.511073416223899,-0.151401888712958,-0.449935664910795,1,0.304291074499254,0.243975875718076,-0.131798279548388,0.368062280801179,0.511109333306381
"sbft",-0.0217856905934571,-0.391198441427339,-0.263948329194006,-0.113902864243396,0.341279952952277,0.235602459782666,0.00709588007028679,0.189781397040397,-0.0791625095823478,-0.246342684793485,-0.0725012604272014,0.304291074499254,1,0.940269121271866,0.098433084518883,0.191517689074468,0.0394610720691393
"slt",-0.14429179523271,-0.396594918517043,-0.358129893878778,-0.206008118352776,0.287900355198055,0.104642877762213,-0.0737893108319879,0.167308169084852,-0.174439388414311,-0.217669898713415,0.0983314275219575,0.243975875718076,0.940269121271866,1,0.0439115663750101,0.0857075402088972,-0.0522364642592767
"shos",0.280566504319618,-0.701005861527103,-0.153572687463869,0.108569500299187,0.556177277235126,0.298902944583984,0.335375612090677,-0.301785073011942,-0.146983323739435,0.219358665228177,0.0422486960173906,-0.131798279548388,0.098433084518883,0.0439115663750101,1,0.491203802729818,0.229938724146086
"strm",0.708058737462327,-0.312956733807367,0.371849777500738,0.547745598508892,0.74685498876786,0.606448018759159,0.712527465693991,0.0801581473393916,0.343257678476455,-0.0400405855127311,-0.317252659778388,0.368062280801179,0.191517689074468,0.0857075402088972,0.491203802729818,1,0.489580718699902
"lesc",0.637224681953189,-0.055129398398651,0.355951952270737,0.600223914462223,0.510705004921705,0.394032382362679,0.553871624920804,0.235057982057707,0.340382662751212,0.000125348716948616,-0.48565387437183,0.511109333306381,0.0394610720691393,-0.0522364642592767,0.229938724146086,0.489580718699902,1
